,item,price,delivery fee,star rate,review count,url
0,"상품명
adidas 디아블로 더플 백 블랙","할인모음가
28,900원","배송정보
우주패스
무료배송",만족도 : 94%,"아마존 판매자평점 및 리뷰
판매자 평점
만족도 : 94%
리뷰
(932)",https://www.11st.co.kr/products/3583302722
1,"상품명
HERSHEY'S 키세스 밀크 초콜릿 캔디 벌크 파티 팩 35.8온스","할인모음가
20,900원","배송정보
우주패스
조건부 무료배송",만족도 : 96%,"아마존 판매자평점 및 리뷰
판매자 평점
만족도 : 96%
리뷰
(931)",https://www.11st.co.kr/products/5342873739
2,"상품명
BIOSILK 실크 테라피 오리지널 큐어 12 oz","할인모음가
22,610원","배송정보
우주패스
무료배송",만족도 : 96%,"아마존 판매자평점 및 리뷰
판매자 평점
만족도 : 96%
리뷰
(1,128)",https://www.11st.co.kr/products/3557507248
3,"상품명
Columbia 남녀공용 보라보라 II 부니 햇 수분 흡수 원단","할인모음가
32,540원","배송정보
우주패스
무료배송",만족도 : 94%,"아마존 판매자평점 및 리뷰
판매자 평점
만족도 : 94%
리뷰
(1,633)",https://www.11st.co.kr/products/3557980649
4,"상품명
Stanley 어드벤처 네스팅 스테인리스 스틸 샷잔 4잔 세트 매트 블랙 2oz","할인모음가
25,590원","배송정보
우주패스
무료배송",만족도 : 96%,"아마존 판매자평점 및 리뷰
판매자 평점
만족도 : 96%
리뷰
(1,052)",https://www.11st.co.kr/products/3541634251
5,"상품명
Stanley 어드밴처 ?처 휴대용 텀블러 콜 20온스","할인모음가
25,150원","배송정보
우주패스
무료배송",만족도 : 96%,"아마존 판매자평점 및 리뷰
판매자 평점
만족도 : 96%
리뷰
(842)",https://www.11st.co.kr/products/4841809803
6,"상품명
Centrum 아동용 멀티비타민 젤리 150정","할인모음가
19,810원","배송정보
우주패스
조건부 무료배송",만족도 : 94%,"아마존 판매자평점 및 리뷰
판매자 평점
만족도 : 94%
리뷰
(1,453)",https://www.11st.co.kr/products/5380553695
7,"상품명
Kipling 여성용 사비안 미니 크로스바디 숄더백 블랙 느와르","할인모음가
33,940원","배송정보
우주패스
무료배송",만족도 : 90%,"아마존 판매자평점 및 리뷰
판매자 평점
만족도 : 90%
리뷰
(4,242)",https://www.11st.co.kr/products/3943103383
