,item,price,delivery fee,star rate,review count,url
10,[동원] 쎈쿡 3종 (발아현미/현미/통곡물밥) 택1 195gx24개,"29,270",무료배송,판매자 평점 별5개 중 4.0개,"리뷰 1,080건",https://www.11st.co.kr/products/1516320312?&trTypeCd=20&trCtgrNo=1001477
11,CJ 햇반 210g 36개입/24개입/오뚜기밥/발아현미밥,"26,900",무료배송,판매자 평점 별5개 중 4.5개,리뷰 879건,https://www.11st.co.kr/products/1937894882?&trTypeCd=20&trCtgrNo=1001477
12,[동원] 양반 밥 작은공기 130gx24개(양반밥/흑미밥/현미밥/오미밥),"21,600",무료배송,판매자 평점 별5개 중 4.5개,"리뷰 2,772건",https://www.11st.co.kr/products/2026169893?&trTypeCd=20&trCtgrNo=1001477
13,구가네식품 황금햅쌀 가마솥맛 누룽지 3kg,"13,490","배송비 3,000원 수량별차등",판매자 평점 별5개 중 4.5개,"리뷰 1,205건",https://www.11st.co.kr/products/2666830038?&trTypeCd=20&trCtgrNo=1001477
14,올스탠다드 누룽지 1KG 우리쌀 100% 식사대용 아침간편식,"6,800",무료배송,판매자 평점 별5개 중 4.5개,리뷰 230건,https://www.11st.co.kr/products/5522897133?&trTypeCd=20&trCtgrNo=1001477
15,[오양]사조수라간 누룽지3kg/대용량,"11,800","배송비 3,000원 수량별차등",판매자 평점 별5개 중 4.5개,"리뷰 1,213건",https://www.11st.co.kr/products/3058279704?&trTypeCd=20&trCtgrNo=1001477
16,천일볶음밥 볶음밥 300g 20종 골라담기,"1,290","배송비 3,500원 수량별차등",판매자 평점 별5개 중 4.5개,"리뷰 2,304건",https://www.11st.co.kr/products/62775462?&trTypeCd=20&trCtgrNo=1001477
17,돌솥밥 누룽지 현미 보리 찹쌀,"14,800",무료배송,판매자 평점 별5개 중 4.5개,"리뷰 7,037건",https://www.11st.co.kr/products/46877409?&trTypeCd=20&trCtgrNo=1001477
18,윤형빈 황금 단백질 주먹밥 3종 28개,"42,420",무료배송,판매자 평점 별5개 중 4.5개,리뷰 22건,https://www.11st.co.kr/products/5044275869?&trTypeCd=20&trCtgrNo=1001477
19,간편식 컵반&컵밥 골라담기 / 햇반컵반 오뚜기컵밥 즉석밥 덮밥 국밥 비빔밥 스팸마요 치킨마요 컵라면,990,"배송비 3,000원 수량별차등",판매자 평점 별5개 중 4.5개,"리뷰 5,434건",https://www.11st.co.kr/products/1987812349?&trTypeCd=20&trCtgrNo=1001477
20,CJ 햇반 컵반 컵밥 빅컵밥 30종 골라담기,"2,090","배송비 3,000원 수량별차등",판매자 평점 별5개 중 4.5개,리뷰 920건,https://www.11st.co.kr/products/4064519894?&trTypeCd=20&trCtgrNo=1001477
21,오뚜기밥 210g 18개 24개 / 발아현미 흑미밥 즉석밥 / 햇반 오곡밥 작은밥,"20,500",무료배송,판매자 평점 별5개 중 4.5개,"리뷰 2,958건",https://www.11st.co.kr/products/26649412?&trTypeCd=20&trCtgrNo=1001477
22,"보현재 수제 찹쌀 연잎밥 선물세트 (11개+1개, 개당 270g)","45,000",무료배송,판매자 평점 별5개 중 4.5개,"리뷰 1,276건",https://www.11st.co.kr/products/2005071244?&trTypeCd=20&trCtgrNo=1001477
23,CJ 햇반 210g 24개 / 36개 즉석밥 오뚜기 백미 흑미 발아현미 매일잡곡,"28,900",무료배송,판매자 평점 별5개 중 4.5개,"리뷰 9,110건",https://www.11st.co.kr/products/206612361?&trTypeCd=20&trCtgrNo=1001477
24,CJ제일제당 햇반 이천쌀밥 210g x18개입/즉석밥/오뚜기밥/컵밥/코스트코,"20,850","배송비 3,000원 착불/선결제",판매자 평점 별5개 중 5.0개,리뷰 3건,https://www.11st.co.kr/products/4827023977?&trTypeCd=20&trCtgrNo=1001477
25,"[다신샵] 오늘은현미주먹밥 5종 25팩 / 국내산현미, 누룽지주먹밥","40,200",무료배송,판매자 평점 별5개 중 4.5개,리뷰 3건,https://www.11st.co.kr/products/5369536850?&trTypeCd=20&trCtgrNo=1001477
26,한끼거뜬 가마솥맛 누룽지 3kg 1봉/국내산쌀 100%,"17,010",무료배송,판매자 평점 별5개 중 4.5개,리뷰 336건,https://www.11st.co.kr/products/2570668207?&trTypeCd=20&trCtgrNo=1001477
